"AIM_001_DIR","AIM_002_DIR","AIM_TramoIngreso_DIRd","AIM_DIRt"
1,1,1,"e"
2,1,1,"e"
3,1,1,"e"
1,1,2,"e"
2,1,2,"e"
3,1,2,"e"
1,1,3,"d"
2,1,3,"d"
3,1,3,"d"
1,1,4,"c3"
2,1,4,"c3"
3,1,4,"c3"
1,1,5,"c3"
2,1,5,"c3"
3,1,5,"c3"
1,1,6,"c2"
2,1,6,"c2"
3,1,6,"c2"
1,1,7,"c2"
2,1,7,"c2"
3,1,7,"c2"
1,2,1,"e"
2,2,1,"e"
3,2,1,"e"
1,2,2,"d"
2,2,2,"d"
3,2,2,"d"
1,2,3,"d"
2,2,3,"d"
3,2,3,"d"
1,2,4,"c3"
2,2,4,"c3"
3,2,4,"c3"
1,2,5,"c3"
2,2,5,"c3"
3,2,5,"c2"
1,2,6,"c2"
2,2,6,"c2"
3,2,6,"c2"
1,2,7,"c2"
2,2,7,"c2"
3,2,7,"c2"
4,1,1,"e"
5,1,1,"e"
4,1,2,"d"
5,1,2,"d"
4,1,3,"d"
5,1,3,"d"
4,1,4,"c3"
5,1,4,"c3"
4,1,5,"c2"
5,1,5,"c2"
4,1,6,"c2"
5,1,6,"c2"
4,1,7,"c2"
5,1,7,"c2"
1,3,1,"e"
2,3,1,"e"
1,3,2,"d"
2,3,2,"d"
1,3,3,"d"
2,3,3,"d"
1,3,4,"c3"
2,3,4,"c3"
1,3,5,"c2"
2,3,5,"c2"
1,3,6,"c2"
2,3,6,"c2"
1,3,7,"c2"
2,3,7,"c2"
1,4,1,"e"
2,4,1,"e"
1,4,2,"d"
2,4,2,"d"
1,4,3,"d"
2,4,3,"d"
1,4,4,"c3"
2,4,4,"c3"
1,4,5,"c2"
2,4,5,"c2"
1,4,6,"c2"
2,4,6,"c2"
1,4,7,"c2"
2,4,7,"c2"
1,5,1,"e"
2,5,1,"e"
1,5,2,"d"
2,5,2,"d"
1,5,3,"d"
2,5,3,"d"
1,5,4,"c3"
2,5,4,"c3"
1,5,5,"c2"
2,5,5,"c2"
1,5,6,"c2"
2,5,6,"c2"
1,5,7,"c2"
2,5,7,"c2"
1,10,1,"e"
2,10,1,"e"
1,10,2,"d"
2,10,2,"d"
1,10,3,"d"
2,10,3,"d"
1,10,4,"c3"
2,10,4,"c3"
1,10,5,"c2"
2,10,5,"c2"
1,10,6,"c2"
2,10,6,"c2"
1,10,7,"c2"
2,10,7,"c2"
3,3,1,"e"
3,4,1,"e"
3,5,1,"e"
3,10,1,"e"
3,3,2,"d"
3,4,2,"d"
3,5,2,"d"
3,10,2,"d"
3,3,3,"d"
3,4,3,"d"
3,5,3,"d"
3,10,3,"d"
3,3,4,"c3"
3,4,4,"c3"
3,5,4,"c3"
3,10,4,"c3"
3,3,5,"c2"
3,4,5,"c2"
3,5,5,"c2"
3,10,5,"c2"
3,3,6,"c2"
3,4,6,"c2"
3,5,6,"c2"
3,10,6,"c2"
3,3,7,"c2"
3,4,7,"c2"
3,5,7,"c2"
3,10,7,"c2"
4,2,1,"e"
5,2,1,"e"
4,2,2,"d"
5,2,2,"d"
4,2,3,"d"
5,2,3,"d"
4,2,4,"c3"
5,2,4,"c3"
4,2,5,"c2"
5,2,5,"c2"
4,2,6,"c2"
5,2,6,"c2"
4,2,7,"c2"
5,2,7,"c2"
1,6,1,"e"
2,6,1,"e"
1,6,2,"d"
2,6,2,"d"
1,6,3,"d"
2,6,3,"d"
1,6,4,"c3"
2,6,4,"c3"
1,6,5,"c2"
2,6,5,"c2"
1,6,6,"c2"
2,6,6,"c2"
1,6,7,"c2"
2,6,7,"c2"
4,3,1,"e"
5,3,1,"e"
4,4,1,"e"
5,4,1,"e"
4,5,1,"e"
5,5,1,"e"
4,10,1,"e"
5,10,1,"e"
4,3,2,"d"
5,3,2,"d"
4,4,2,"d"
5,4,2,"d"
4,5,2,"d"
5,5,2,"d"
4,10,2,"d"
5,10,2,"d"
4,3,3,"c3"
5,3,3,"c3"
4,4,3,"c3"
5,4,3,"c3"
4,5,3,"c3"
5,5,3,"c3"
4,10,3,"c3"
