"trialid","procedure","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id"
"BART_01","BART","{""explodeRounds"":27}","{""status"":""safe"",""rounds"":16,""roundMoney"":800,""totalMoney"":800}","audio-button-response","4","20339","0.0-5.0"
"BART_02","BART","{""explodeRounds"":57}","{""status"":""safe"",""rounds"":5,""roundMoney"":250,""totalMoney"":1050}","audio-button-response","5","24282","0.0-6.0"
"BART_03","BART","{""explodeRounds"":128}","{""status"":""safe"",""rounds"":3,""roundMoney"":150,""totalMoney"":1200}","audio-button-response","6","27491","0.0-7.0"
"BART_04","BART","{""explodeRounds"":40}","{""status"":""safe"",""rounds"":1,""roundMoney"":50,""totalMoney"":1250}","audio-button-response","7","29448","0.0-8.0"
"BART_05","BART","{""explodeRounds"":53}","{""status"":""safe"",""rounds"":16,""roundMoney"":800,""totalMoney"":2050}","audio-button-response","8","40582","0.0-9.0"
"BART_06","BART","{""explodeRounds"":70}","{""status"":""safe"",""rounds"":1,""roundMoney"":50,""totalMoney"":2100}","audio-button-response","9","42678","0.0-10.0"
"BART_07","BART","{""explodeRounds"":44}","{""status"":""safe"",""rounds"":2,""roundMoney"":100,""totalMoney"":2200}","audio-button-response","10","45018","0.0-11.0"
"BART_08","BART","{""explodeRounds"":92}","{""status"":""safe"",""rounds"":2,""roundMoney"":100,""totalMoney"":2300}","audio-button-response","11","47895","0.0-12.0"
"BART_09","BART","{""explodeRounds"":31}","{""status"":""safe"",""rounds"":23,""roundMoney"":1150,""totalMoney"":3450}","audio-button-response","12","67615","0.0-13.0"
"BART_10","BART","{""explodeRounds"":101}","{""status"":""safe"",""rounds"":25,""roundMoney"":1250,""totalMoney"":4700}","audio-button-response","13","87035","0.0-14.0"
"BART_11","BART","{""explodeRounds"":18}","{""status"":""explode"",""rounds"":18,""roundMoney"":0,""totalMoney"":4700}","audio-button-response","14","99011","0.0-15.0"
"BART_12","BART","{""explodeRounds"":10}","{""status"":""explode"",""rounds"":10,""roundMoney"":0,""totalMoney"":4700}","audio-button-response","15","105246","0.0-16.0"
"BART_13","BART","{""explodeRounds"":122}","{""status"":""safe"",""rounds"":0,""roundMoney"":0,""totalMoney"":4700}","audio-button-response","16","105868","0.0-17.0"
"BART_14","BART","{""explodeRounds"":36}","{""status"":""safe"",""rounds"":1,""roundMoney"":50,""totalMoney"":4750}","audio-button-response","17","107457","0.0-18.0"
"BART_15","BART","{""explodeRounds"":114}","{""status"":""safe"",""rounds"":0,""roundMoney"":0,""totalMoney"":4750}","audio-button-response","18","108159","0.0-19.0"
"BART_16","BART","{""explodeRounds"":83}","{""status"":""safe"",""rounds"":12,""roundMoney"":600,""totalMoney"":5350}","audio-button-response","19","116438","0.0-20.0"
"BART_17","BART","{""explodeRounds"":96}","{""status"":""safe"",""rounds"":3,""roundMoney"":150,""totalMoney"":5500}","audio-button-response","20","118927","0.0-21.0"
"BART_18","BART","{""explodeRounds"":118}","{""status"":""safe"",""rounds"":7,""roundMoney"":350,""totalMoney"":5850}","audio-button-response","21","123731","0.0-22.0"
"BART_19","BART","{""explodeRounds"":14}","{""status"":""safe"",""rounds"":2,""roundMoney"":100,""totalMoney"":5950}","audio-button-response","22","125678","0.0-23.0"
"BART_20","BART","{""explodeRounds"":75}","{""status"":""safe"",""rounds"":29,""roundMoney"":1450,""totalMoney"":7400}","audio-button-response","23","143802","0.0-24.0"
"BART_21","BART","{""explodeRounds"":23}","{""status"":""safe"",""rounds"":4,""roundMoney"":200,""totalMoney"":7600}","audio-button-response","24","147064","0.0-25.0"
"BART_22","BART","{""explodeRounds"":62}","{""status"":""safe"",""rounds"":24,""roundMoney"":1200,""totalMoney"":8800}","audio-button-response","25","161466","0.0-26.0"
"BART_23","BART","{""explodeRounds"":1}","{""status"":""explode"",""rounds"":1,""roundMoney"":0,""totalMoney"":8800}","audio-button-response","26","162258","0.0-27.0"
"BART_24","BART","{""explodeRounds"":49}","{""status"":""safe"",""rounds"":8,""roundMoney"":400,""totalMoney"":9200}","audio-button-response","27","167287","0.0-28.0"
"BART_25","BART","{""explodeRounds"":88}","{""status"":""safe"",""rounds"":3,""roundMoney"":150,""totalMoney"":9350}","audio-button-response","28","170051","0.0-29.0"
"BART_26","BART","{""explodeRounds"":105}","{""status"":""safe"",""rounds"":0,""roundMoney"":0,""totalMoney"":9350}","audio-button-response","29","170946","0.0-30.0"
"BART_27","BART","{""explodeRounds"":66}","{""status"":""safe"",""rounds"":2,""roundMoney"":100,""totalMoney"":9450}","audio-button-response","30","172864","0.0-31.0"
"BART_28","BART","{""explodeRounds"":109}","{""status"":""safe"",""rounds"":7,""roundMoney"":350,""totalMoney"":9800}","audio-button-response","31","177618","0.0-32.0"
"BART_29","BART","{""explodeRounds"":5}","{""status"":""explode"",""rounds"":5,""roundMoney"":0,""totalMoney"":9800}","audio-button-response","32","180628","0.0-33.0"
"BART_30","BART","{""explodeRounds"":79}","{""status"":""safe"",""rounds"":0,""roundMoney"":0,""totalMoney"":9800}","audio-button-response","33","181467","0.0-34.0"
