"trialid","procedure","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id"
"BART_01","BART","{""explodeRounds"":88}","{""status"":""safe"",""rounds"":1,""roundMoney"":50,""totalMoney"":50}","audio-button-response","4","10903","0.0-5.0"
"BART_02","BART","{""explodeRounds"":14}","{""status"":""safe"",""rounds"":5,""roundMoney"":250,""totalMoney"":300}","audio-button-response","5","15091","0.0-6.0"
"BART_03","BART","{""explodeRounds"":23}","{""status"":""safe"",""rounds"":14,""roundMoney"":700,""totalMoney"":1000}","audio-button-response","6","24314","0.0-7.0"
"BART_04","BART","{""explodeRounds"":66}","{""status"":""safe"",""rounds"":0,""roundMoney"":0,""totalMoney"":1000}","audio-button-response","7","25319","0.0-8.0"
"BART_05","BART","{""explodeRounds"":92}","{""status"":""safe"",""rounds"":13,""roundMoney"":650,""totalMoney"":1650}","audio-button-response","8","35136","0.0-9.0"
"BART_06","BART","{""explodeRounds"":53}","{""status"":""safe"",""rounds"":17,""roundMoney"":850,""totalMoney"":2500}","audio-button-response","9","47970","0.0-10.0"
"BART_07","BART","{""explodeRounds"":57}","{""status"":""safe"",""rounds"":10,""roundMoney"":500,""totalMoney"":3000}","audio-button-response","10","56717","0.0-11.0"
"BART_08","BART","{""explodeRounds"":49}","{""status"":""safe"",""rounds"":24,""roundMoney"":1200,""totalMoney"":4200}","audio-button-response","11","76625","0.0-12.0"
"BART_09","BART","{""explodeRounds"":10}","{""status"":""safe"",""rounds"":6,""roundMoney"":300,""totalMoney"":4500}","audio-button-response","12","81784","0.0-13.0"
"BART_10","BART","{""explodeRounds"":1}","{""status"":""explode"",""rounds"":1,""roundMoney"":0,""totalMoney"":4500}","audio-button-response","13","82703","0.0-14.0"
"BART_11","BART","{""explodeRounds"":27}","{""status"":""safe"",""rounds"":0,""roundMoney"":0,""totalMoney"":4500}","audio-button-response","14","83673","0.0-15.0"
"BART_12","BART","{""explodeRounds"":62}","{""status"":""safe"",""rounds"":3,""roundMoney"":150,""totalMoney"":4650}","audio-button-response","15","86485","0.0-16.0"
"BART_13","BART","{""explodeRounds"":18}","{""status"":""explode"",""rounds"":18,""roundMoney"":0,""totalMoney"":4650}","audio-button-response","16","98323","0.0-17.0"
"BART_14","BART","{""explodeRounds"":122}","{""status"":""safe"",""rounds"":8,""roundMoney"":400,""totalMoney"":5050}","audio-button-response","17","104113","0.0-18.0"
"BART_15","BART","{""explodeRounds"":101}","{""status"":""safe"",""rounds"":6,""roundMoney"":300,""totalMoney"":5350}","audio-button-response","18","108824","0.0-19.0"
"BART_16","BART","{""explodeRounds"":40}","{""status"":""safe"",""rounds"":11,""roundMoney"":550,""totalMoney"":5900}","audio-button-response","19","116413","0.0-20.0"
"BART_17","BART","{""explodeRounds"":5}","{""status"":""explode"",""rounds"":5,""roundMoney"":0,""totalMoney"":5900}","audio-button-response","20","119473","0.0-21.0"
"BART_18","BART","{""explodeRounds"":44}","{""status"":""safe"",""rounds"":4,""roundMoney"":200,""totalMoney"":6100}","audio-button-response","21","122552","0.0-22.0"
"BART_19","BART","{""explodeRounds"":36}","{""status"":""safe"",""rounds"":1,""roundMoney"":50,""totalMoney"":6150}","audio-button-response","22","123899","0.0-23.0"
"BART_20","BART","{""explodeRounds"":128}","{""status"":""safe"",""rounds"":16,""roundMoney"":800,""totalMoney"":6950}","audio-button-response","23","133718","0.0-24.0"
"BART_21","BART","{""explodeRounds"":109}","{""status"":""safe"",""rounds"":7,""roundMoney"":350,""totalMoney"":7300}","audio-button-response","24","139070","0.0-25.0"
"BART_22","BART","{""explodeRounds"":114}","{""status"":""safe"",""rounds"":0,""roundMoney"":0,""totalMoney"":7300}","audio-button-response","25","139968","0.0-26.0"
"BART_23","BART","{""explodeRounds"":105}","{""status"":""safe"",""rounds"":5,""roundMoney"":250,""totalMoney"":7550}","audio-button-response","26","143829","0.0-27.0"
"BART_24","BART","{""explodeRounds"":31}","{""status"":""safe"",""rounds"":1,""roundMoney"":50,""totalMoney"":7600}","audio-button-response","27","145272","0.0-28.0"
"BART_25","BART","{""explodeRounds"":96}","{""status"":""safe"",""rounds"":2,""roundMoney"":100,""totalMoney"":7700}","audio-button-response","28","147232","0.0-29.0"
"BART_26","BART","{""explodeRounds"":83}","{""status"":""safe"",""rounds"":28,""roundMoney"":1400,""totalMoney"":9100}","audio-button-response","29","163527","0.0-30.0"
"BART_27","BART","{""explodeRounds"":118}","{""status"":""safe"",""rounds"":15,""roundMoney"":750,""totalMoney"":9850}","audio-button-response","30","172849","0.0-31.0"
"BART_28","BART","{""explodeRounds"":75}","{""status"":""safe"",""rounds"":7,""roundMoney"":350,""totalMoney"":10200}","audio-button-response","31","177548","0.0-32.0"
"BART_29","BART","{""explodeRounds"":70}","{""status"":""safe"",""rounds"":7,""roundMoney"":350,""totalMoney"":10550}","audio-button-response","32","182167","0.0-33.0"
"BART_30","BART","{""explodeRounds"":79}","{""status"":""safe"",""rounds"":5,""roundMoney"":250,""totalMoney"":10800}","audio-button-response","33","185604","0.0-34.0"
