"trialid","procedure","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id"
"BART_01","BART","{""explodeRounds"":70}","{""status"":""safe"",""rounds"":4,""roundMoney"":200,""totalMoney"":200}","audio-button-response","8","25220","0.0-15.0"
"BART_02","BART","{""explodeRounds"":23}","{""status"":""safe"",""rounds"":1,""roundMoney"":50,""totalMoney"":250}","audio-button-response","9","26774","0.0-16.0"
"BART_03","BART","{""explodeRounds"":10}","{""status"":""safe"",""rounds"":2,""roundMoney"":100,""totalMoney"":350}","audio-button-response","10","29796","0.0-17.0"
"BART_04","BART","{""explodeRounds"":36}","{""status"":""safe"",""rounds"":26,""roundMoney"":1300,""totalMoney"":1650}","audio-button-response","11","50261","0.0-18.0"
"BART_05","BART","{""explodeRounds"":49}","{""status"":""safe"",""rounds"":3,""roundMoney"":150,""totalMoney"":1800}","audio-button-response","12","53960","0.0-19.0"
"BART_06","BART","{""explodeRounds"":62}","{""status"":""safe"",""rounds"":1,""roundMoney"":50,""totalMoney"":1850}","audio-button-response","13","55687","0.0-20.0"
"BART_07","BART","{""explodeRounds"":118}","{""status"":""safe"",""rounds"":13,""roundMoney"":650,""totalMoney"":2500}","audio-button-response","14","65750","0.0-21.0"
"BART_08","BART","{""explodeRounds"":18}","{""status"":""explode"",""rounds"":18,""roundMoney"":0,""totalMoney"":2500}","audio-button-response","15","78258","0.0-22.0"
"BART_09","BART","{""explodeRounds"":66}","{""status"":""safe"",""rounds"":2,""roundMoney"":100,""totalMoney"":2600}","audio-button-response","16","80754","0.0-23.0"
"BART_10","BART","{""explodeRounds"":31}","{""status"":""safe"",""rounds"":14,""roundMoney"":700,""totalMoney"":3300}","audio-button-response","17","91833","0.0-24.0"
"BART_11","BART","{""explodeRounds"":44}","{""status"":""safe"",""rounds"":4,""roundMoney"":200,""totalMoney"":3500}","audio-button-response","18","95977","0.0-25.0"
"BART_12","BART","{""explodeRounds"":79}","{""status"":""safe"",""rounds"":3,""roundMoney"":150,""totalMoney"":3650}","audio-button-response","19","98633","0.0-26.0"
"BART_13","BART","{""explodeRounds"":83}","{""status"":""safe"",""rounds"":3,""roundMoney"":150,""totalMoney"":3800}","audio-button-response","20","101845","0.0-27.0"
"BART_14","BART","{""explodeRounds"":27}","{""status"":""safe"",""rounds"":4,""roundMoney"":200,""totalMoney"":4000}","audio-button-response","21","105622","0.0-28.0"
"BART_15","BART","{""explodeRounds"":101}","{""status"":""safe"",""rounds"":32,""roundMoney"":1600,""totalMoney"":5600}","audio-button-response","22","130507","0.0-29.0"
"BART_16","BART","{""explodeRounds"":105}","{""status"":""safe"",""rounds"":3,""roundMoney"":150,""totalMoney"":5750}","audio-button-response","23","133851","0.0-30.0"
"BART_17","BART","{""explodeRounds"":57}","{""status"":""safe"",""rounds"":25,""roundMoney"":1250,""totalMoney"":7000}","audio-button-response","24","153055","0.0-31.0"
"BART_18","BART","{""explodeRounds"":96}","{""status"":""safe"",""rounds"":13,""roundMoney"":650,""totalMoney"":7650}","audio-button-response","25","163780","0.0-32.0"
"BART_19","BART","{""explodeRounds"":109}","{""status"":""safe"",""rounds"":2,""roundMoney"":100,""totalMoney"":7750}","audio-button-response","26","166315","0.0-33.0"
"BART_20","BART","{""explodeRounds"":53}","{""status"":""safe"",""rounds"":19,""roundMoney"":950,""totalMoney"":8700}","audio-button-response","27","183174","0.0-34.0"
"BART_21","BART","{""explodeRounds"":128}","{""status"":""safe"",""rounds"":9,""roundMoney"":450,""totalMoney"":9150}","audio-button-response","28","190027","0.0-35.0"
"BART_22","BART","{""explodeRounds"":92}","{""status"":""safe"",""rounds"":0,""roundMoney"":0,""totalMoney"":9150}","audio-button-response","29","191070","0.0-36.0"
"BART_23","BART","{""explodeRounds"":40}","{""status"":""safe"",""rounds"":1,""roundMoney"":50,""totalMoney"":9200}","audio-button-response","30","192898","0.0-37.0"
"BART_24","BART","{""explodeRounds"":14}","{""status"":""safe"",""rounds"":5,""roundMoney"":250,""totalMoney"":9450}","audio-button-response","31","197529","0.0-38.0"
"BART_25","BART","{""explodeRounds"":88}","{""status"":""safe"",""rounds"":36,""roundMoney"":1800,""totalMoney"":11250}","audio-button-response","32","225604","0.0-39.0"
"BART_26","BART","{""explodeRounds"":122}","{""status"":""safe"",""rounds"":11,""roundMoney"":550,""totalMoney"":11800}","audio-button-response","33","234539","0.0-40.0"
"BART_27","BART","{""explodeRounds"":1}","{""status"":""safe"",""rounds"":0,""roundMoney"":0,""totalMoney"":11800}","audio-button-response","34","235360","0.0-41.0"
"BART_28","BART","{""explodeRounds"":5}","{""status"":""explode"",""rounds"":5,""roundMoney"":0,""totalMoney"":11800}","audio-button-response","35","239963","0.0-42.0"
"BART_29","BART","{""explodeRounds"":114}","{""status"":""safe"",""rounds"":5,""roundMoney"":250,""totalMoney"":12050}","audio-button-response","36","243754","0.0-43.0"
"BART_30","BART","{""explodeRounds"":75}","{""status"":""safe"",""rounds"":9,""roundMoney"":450,""totalMoney"":12500}","audio-button-response","37","251141","0.0-44.0"
