"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","question_order","slider_start"
"[{""page_index"":0,""viewing_time"":341}]","341","Instructions_01","COVIDCONTROL","instructions","82","289988","0.0-93.0","","","",""
"","1312.6000000014901","COVIDCONTROL_01","COVIDCONTROL","survey-multi-select","83","291303","0.0-94.0","{""Q0"":""Quién más vive en su casa además de usted actualmente? (puede marcar más de una alternativa)""}","{""Q0"":[""&nbsp;Mascota(s)""]}","[0]",""
"","972","COVIDCONTROL_02","COVIDCONTROL","survey-multi-choice-vertical","84","292279","0.0-95.0","{""Q0"":""Si tuviera que elegir aquella situación que más lo(a) representa durante la pandemia del COVID-19, ¿cuál sería?""}","{""Q0"":"" Estoy en cuarentena/distanciamiento social obligatorio (decretado por el Gobierno y/o el sistema público de salud)""}","",""
"","1030","COVIDCONTROL_03","COVIDCONTROL","survey-multi-choice-vertical","85","293313","0.0-96.0","{""Q0"":""De forma general, ¿cómo describiría su estado de salud en este último tiempo? Usted diría que es:""}","{""Q0"":"" Malo""}","",""
"","1495.800000000745","COVIDCONTROL_04","COVIDCONTROL","survey-multi-select","86","294814","0.0-97.0","{""Q0"":""A su alrededor, ¿ha habido diagnósticos de COVID-19? (Marque todas las alternativas que se ajusten a su realidad)""}","{""Q0"":[""&nbsp;No""]}","[0]",""
"","850","COVIDCONTROL_05","COVIDCONTROL","survey-multi-choice-vertical","87","295668","0.0-98.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Infectarse con COVID-19""}","{""Q0"":"" Alto riesgo""}","",""
"","1244","COVIDCONTROL_06","COVIDCONTROL","survey-multi-choice-vertical","88","296915","0.0-99.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Experimentar una versión severa de la infección COVID-19""}","{""Q0"":"" Alto riesgo""}","",""
"","903","COVIDCONTROL_07","COVIDCONTROL","survey-multi-choice-vertical","89","297823","0.0-100.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Morir de COVID-19""}","{""Q0"":"" Bajo riesgo""}","",""
"","1056","COVIDCONTROL_08","COVIDCONTROL","survey-multi-choice-vertical","90","298884","0.0-101.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Infectarse con COVID-19""}","{""Q0"":"" Alto riesgo""}","",""
"","997","COVIDCONTROL_09","COVIDCONTROL","survey-multi-choice-vertical","91","299884","0.0-102.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Experimentar una versión severa de la infección COVID-19""}","{""Q0"":"" Muy alto riesgo""}","",""
"","1011","COVIDCONTROL_10","COVIDCONTROL","survey-multi-choice-vertical","92","300899","0.0-103.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Morir de COVID-19""}","{""Q0"":"" Muy bajo riesgo""}","",""
"","895","COVIDCONTROL_11","COVIDCONTROL","survey-multi-choice-vertical","93","301798","0.0-104.0","{""Q0"":""Cuando compara la situación financiera de su hogar antes y después de la pandemia por COVID-19, ¿considera que ahora es mejor, peor o que se ha mantenido igual que antes?""}","{""Q0"":"" Igual""}","",""
"","938","COVIDCONTROL_12","COVIDCONTROL","survey-multi-choice-vertical","94","302742","0.0-105.0","{""Q0"":""¿Cuál de las siguientes frases describe mejor su situación laboral durante la pandemia por COVID-19?""}","{""Q0"":"" Tengo el mismo trabajo""}","",""
"","557.9000000022352","COVIDCONTROL_13","COVIDCONTROL","html-slider-response","95","303304","0.0-106.0","<div class=""justified"">¿En qué medida considera que las consecuencias de la pandemia han afectado su calidad de vida?</div></br>","1","","50"
