"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","button_pressed","condition_within","slider_start","response"
"[{""page_index"":0,""viewing_time"":492}]","492","Instructions_01","HRPVB","instructions","289","490230","0.0-304.0","","","","",""
"[{""page_index"":0,""viewing_time"":395}]","395","Instructions_02","HRPVB","instructions","290","490625","0.0-305.0","","","","",""
"","390.80000000074506","HRPVB_04_00","HRPVB","html-button-response","291","491018","0.0-306.0-0.0","Dificultades para inicio temprano de lactancia materna","0","Dificultades para inicio temprano de lactancia materna","",""
"","694.9000000022352","HRPVB_04_01","HRPVB","html-slider-response","292","491717","0.0-306.0-1.0","cesarea","","Dificultades para inicio temprano de lactancia materna; cesarea","50","45.6"
"","705.1999999992549","HRPVB_04_02","HRPVB","html-slider-response","293","492427","0.0-306.0-2.0","vaginal","","Dificultades para inicio temprano de lactancia materna; vaginal","50","53.7"
"","353.69999999925494","HRPVB_01_00","HRPVB","html-button-response","294","492782","0.0-306.0-0.1","Problemas respiratorios del recién nacido","0","Problemas respiratorios del recién nacido","",""
"","568.0999999977648","HRPVB_01_02","HRPVB","html-slider-response","295","493352","0.0-306.0-1.1","vaginal","","Problemas respiratorios del recién nacido; vaginal","50","47.9"
"","794.1999999992549","HRPVB_01_01","HRPVB","html-slider-response","296","494148","0.0-306.0-2.1","cesarea","","Problemas respiratorios del recién nacido; cesarea","50","53.2"
"","385.8999999985099","HRPVB_02_00","HRPVB","html-button-response","297","494535","0.0-306.0-0.2","Lesión en el cerebro del bebe por falta de oxígeno","0","Lesión en el cerebro del bebe por falta de oxígeno","",""
"","520.1999999992549","HRPVB_02_01","HRPVB","html-slider-response","298","495058","0.0-306.0-1.2","cesarea","","Lesión en el cerebro del bebe por falta de oxígeno; cesarea","50","50.5"
"","624.9000000022352","HRPVB_02_02","HRPVB","html-slider-response","299","495686","0.0-306.0-2.2","vaginal","","Lesión en el cerebro del bebe por falta de oxígeno; vaginal","50","53.9"
"","441.19999999925494","HRPVB_03_00","HRPVB","html-button-response","300","496129","0.0-306.0-0.3","Hospitalización en cuidados intensivos neonatales","0","Hospitalización en cuidados intensivos neonatales","",""
"","557.8000000007451","HRPVB_03_02","HRPVB","html-slider-response","301","496689","0.0-306.0-1.3","vaginal","","Hospitalización en cuidados intensivos neonatales; vaginal","50","51.1"
"","543.8999999985099","HRPVB_03_01","HRPVB","html-slider-response","302","497237","0.0-306.0-2.3","cesarea","","Hospitalización en cuidados intensivos neonatales; cesarea","50","48.3"
"[{""page_index"":0,""viewing_time"":465}]","465","Instructions_02","HRPVB","instructions","303","497704","0.0-307.0","","","","",""
"","489.30000000074506","HRPVB_05_00","HRPVB","html-button-response","304","498195","0.0-308.0-0.0","Complicaciones de la anestesia","0","Complicaciones de la anestesia","",""
"","547.5","HRPVB_05_01","HRPVB","html-slider-response","305","498745","0.0-308.0-1.0","cesarea","","Complicaciones de la anestesia; cesarea","50","49.9"
"","558","HRPVB_05_02","HRPVB","html-slider-response","306","499305","0.0-308.0-2.0","vaginal","","Complicaciones de la anestesia; vaginal","50","54.7"
"","504.3999999985099","HRPVB_10_00","HRPVB","html-button-response","307","499811","0.0-308.0-0.1","Hospitalización de la madre en cuidados intensivos","0","Hospitalización de la madre en cuidados intensivos","",""
"","639.0999999977648","HRPVB_10_02","HRPVB","html-slider-response","308","500452","0.0-308.0-1.1","vaginal","","Hospitalización de la madre en cuidados intensivos; vaginal","50","49.6"
"","537.8999999985099","HRPVB_10_01","HRPVB","html-slider-response","309","500991","0.0-308.0-2.1","cesarea","","Hospitalización de la madre en cuidados intensivos; cesarea","50","46.1"
"","438.5","HRPVB_08_00","HRPVB","html-button-response","310","501431","0.0-308.0-0.2","Infección de la herida","0","Infección de la herida","",""
"","732.4000000022352","HRPVB_08_01","HRPVB","html-slider-response","311","502165","0.0-308.0-1.2","cesarea","","Infección de la herida; cesarea","50","54.8"
"","500.79999999701977","HRPVB_08_02","HRPVB","html-slider-response","312","502667","0.0-308.0-2.2","vaginal","","Infección de la herida; vaginal","50","54.1"
"","382.19999999925494","HRPVB_06_00","HRPVB","html-button-response","313","503051","0.0-308.0-0.3","Paro cardíaco","0","Paro cardíaco","",""
"","709.3000000007451","HRPVB_06_01","HRPVB","html-slider-response","314","503763","0.0-308.0-1.3","cesarea","","Paro cardíaco; cesarea","50","53.6"
"","578.1999999992549","HRPVB_06_02","HRPVB","html-slider-response","315","504343","0.0-308.0-2.3","vaginal","","Paro cardíaco; vaginal","50","49.8"
"","332.6000000014901","HRPVB_11_00","HRPVB","html-button-response","316","504677","0.0-308.0-0.4","Depresión post parto","0","Depresión post parto","",""
"","533.5999999977648","HRPVB_11_02","HRPVB","html-slider-response","317","505213","0.0-308.0-1.4","vaginal","","Depresión post parto; vaginal","50","50.6"
"","657.1999999992549","HRPVB_11_01","HRPVB","html-slider-response","318","505873","0.0-308.0-2.4","cesarea","","Depresión post parto; cesarea","50","47.4"
"","375.0999999977648","HRPVB_09_00","HRPVB","html-button-response","319","506252","0.0-308.0-0.5","Lesión de la vagina","0","Lesión de la vagina","",""
"","556.3999999985099","HRPVB_09_02","HRPVB","html-slider-response","320","506811","0.0-308.0-1.5","vaginal","","Lesión de la vagina; vaginal","50","45.6"
"","650.3000000007451","HRPVB_09_01","HRPVB","html-slider-response","321","507464","0.0-308.0-2.5","cesarea","","Lesión de la vagina; cesarea","50","53.9"
"","389.30000000074506","HRPVB_07_00","HRPVB","html-button-response","322","507856","0.0-308.0-0.6","Histerectomía (extracción del útero)","0","Histerectomía (extracción del útero)","",""
"","540.9000000022352","HRPVB_07_01","HRPVB","html-slider-response","323","508398","0.0-308.0-1.6","cesarea","","Histerectomía (extracción del útero); cesarea","50","51.8"
"","466.3999999985099","HRPVB_07_02","HRPVB","html-slider-response","324","508867","0.0-308.0-2.6","vaginal","","Histerectomía (extracción del útero); vaginal","50","49.6"
