"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","button_pressed","condition_within","slider_start","response"
"[{""page_index"":0,""viewing_time"":506},{""page_index"":1,""viewing_time"":419}]","925","Instructions_01","HRPVBpost","instructions","325","555117","0.0-310.0","","","","",""
"[{""page_index"":0,""viewing_time"":437}]","438","Instructions_02","HRPVBpost","instructions","326","555556","0.0-311.0","","","","",""
"","323.4000000022352","HRPVBpost_02_00","HRPVBpost","html-button-response","327","555881","0.0-312.0-0.0","Lesión en el cerebro del bebe por falta de oxígeno","0","Lesión en el cerebro del bebe por falta de oxígeno","",""
"","739.1000000014901","HRPVBpost_02_01","HRPVBpost","html-slider-response","328","556623","0.0-312.0-1.0","cesarea","","Lesión en el cerebro del bebe por falta de oxígeno; cesarea","50","48.3"
"","625.5","HRPVBpost_02_02","HRPVBpost","html-slider-response","329","557250","0.0-312.0-2.0","vaginal","","Lesión en el cerebro del bebe por falta de oxígeno; vaginal","50","46"
"","319.30000000074506","HRPVBpost_03_00","HRPVBpost","html-button-response","330","557571","0.0-312.0-0.1","Hospitalización en cuidados intensivos neonatales","0","Hospitalización en cuidados intensivos neonatales","",""
"","700.9000000022352","HRPVBpost_03_02","HRPVBpost","html-slider-response","331","558274","0.0-312.0-1.1","vaginal","","Hospitalización en cuidados intensivos neonatales; vaginal","50","53.5"
"","677.3999999985099","HRPVBpost_03_01","HRPVBpost","html-slider-response","332","558954","0.0-312.0-2.1","cesarea","","Hospitalización en cuidados intensivos neonatales; cesarea","50","50.2"
"","388.69999999925494","HRPVBpost_01_00","HRPVBpost","html-button-response","333","559344","0.0-312.0-0.2","Problemas respiratorios del recién nacido","0","Problemas respiratorios del recién nacido","",""
"","590.7999999970198","HRPVBpost_01_01","HRPVBpost","html-slider-response","334","559936","0.0-312.0-1.2","cesarea","","Problemas respiratorios del recién nacido; cesarea","50","54.3"
"","726.2000000029802","HRPVBpost_01_02","HRPVBpost","html-slider-response","335","560668","0.0-312.0-2.2","vaginal","","Problemas respiratorios del recién nacido; vaginal","50","50.1"
"","389.30000000074506","HRPVBpost_04_00","HRPVBpost","html-button-response","336","561062","0.0-312.0-0.3","Dificultades para inicio temprano de lactancia materna","0","Dificultades para inicio temprano de lactancia materna","",""
"","565.5","HRPVBpost_04_01","HRPVBpost","html-slider-response","337","561631","0.0-312.0-1.3","cesarea","","Dificultades para inicio temprano de lactancia materna; cesarea","50","49.9"
"","736.6999999992549","HRPVBpost_04_02","HRPVBpost","html-slider-response","338","562370","0.0-312.0-2.3","vaginal","","Dificultades para inicio temprano de lactancia materna; vaginal","50","52.8"
"[{""page_index"":0,""viewing_time"":419}]","419","Instructions_02","HRPVBpost","instructions","339","562791","0.0-313.0","","","","",""
"","376.30000000074506","HRPVBpost_10_00","HRPVBpost","html-button-response","340","563169","0.0-314.0-0.0","Hospitalización de la madre en cuidados intensivos","0","Hospitalización de la madre en cuidados intensivos","",""
"","598.8000000007451","HRPVBpost_10_02","HRPVBpost","html-slider-response","341","563770","0.0-314.0-1.0","vaginal","","Hospitalización de la madre en cuidados intensivos; vaginal","50","51.5"
"","797.1000000014901","HRPVBpost_10_01","HRPVBpost","html-slider-response","342","564569","0.0-314.0-2.0","cesarea","","Hospitalización de la madre en cuidados intensivos; cesarea","50","45.6"
"","368.80000000074506","HRPVBpost_09_00","HRPVBpost","html-button-response","343","564939","0.0-314.0-0.1","Lesión de la vagina","0","Lesión de la vagina","",""
"","514.5999999977648","HRPVBpost_09_02","HRPVBpost","html-slider-response","344","565456","0.0-314.0-1.1","vaginal","","Lesión de la vagina; vaginal","50","54.9"
"","702.6999999992549","HRPVBpost_09_01","HRPVBpost","html-slider-response","345","566160","0.0-314.0-2.1","cesarea","","Lesión de la vagina; cesarea","50","46.9"
"","368","HRPVBpost_07_00","HRPVBpost","html-button-response","346","566531","0.0-314.0-0.2","Histerectomía (extracción del útero)","0","Histerectomía (extracción del útero)","",""
"","605.5","HRPVBpost_07_01","HRPVBpost","html-slider-response","347","567139","0.0-314.0-1.2","cesarea","","Histerectomía (extracción del útero); cesarea","50","47.3"
"","694.1999999992549","HRPVBpost_07_02","HRPVBpost","html-slider-response","348","567836","0.0-314.0-2.2","vaginal","","Histerectomía (extracción del útero); vaginal","50","49"
"","506.5","HRPVBpost_08_00","HRPVBpost","html-button-response","349","568344","0.0-314.0-0.3","Infección de la herida","0","Infección de la herida","",""
"","531.7000000029802","HRPVBpost_08_01","HRPVBpost","html-slider-response","350","568877","0.0-314.0-1.3","cesarea","","Infección de la herida; cesarea","50","51.4"
"","518.1999999992549","HRPVBpost_08_02","HRPVBpost","html-slider-response","351","569398","0.0-314.0-2.3","vaginal","","Infección de la herida; vaginal","50","47.1"
"","467.0999999977648","HRPVBpost_11_00","HRPVBpost","html-button-response","352","569867","0.0-314.0-0.4","Depresión post parto","0","Depresión post parto","",""
"","679.5","HRPVBpost_11_02","HRPVBpost","html-slider-response","353","570548","0.0-314.0-1.4","vaginal","","Depresión post parto; vaginal","50","47"
"","892.9000000022352","HRPVBpost_11_01","HRPVBpost","html-slider-response","354","571444","0.0-314.0-2.4","cesarea","","Depresión post parto; cesarea","50","53.4"
"","396.79999999701977","HRPVBpost_06_00","HRPVBpost","html-button-response","355","571845","0.0-314.0-0.5","Paro cardíaco","0","Paro cardíaco","",""
"","601.0999999977648","HRPVBpost_06_02","HRPVBpost","html-slider-response","356","572448","0.0-314.0-1.5","vaginal","","Paro cardíaco; vaginal","50","51.6"
"","534.0999999977648","HRPVBpost_06_01","HRPVBpost","html-slider-response","357","572984","0.0-314.0-2.5","cesarea","","Paro cardíaco; cesarea","50","50.5"
"","389.69999999925494","HRPVBpost_05_00","HRPVBpost","html-button-response","358","573377","0.0-314.0-0.6","Complicaciones de la anestesia","0","Complicaciones de la anestesia","",""
"","723.1999999992549","HRPVBpost_05_02","HRPVBpost","html-slider-response","359","574104","0.0-314.0-1.6","vaginal","","Complicaciones de la anestesia; vaginal","50","52.1"
"","522.6000000014901","HRPVBpost_05_01","HRPVBpost","html-slider-response","360","574628","0.0-314.0-2.6","cesarea","","Complicaciones de la anestesia; cesarea","50","45.6"
