"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","button_pressed"
"[{""page_index"":0,""viewing_time"":352},{""page_index"":1,""viewing_time"":584},{""page_index"":2,""viewing_time"":502}]","1438","Instructions_05","INFCONS","instructions","403","543135","0.0-358.0","",""
"","396.5","INFCONS_26","INFCONS","html-button-response","404","543534","0.0-359.0","<p><u><p><u>Riesgos para el <B>bebé</B></u></p><BR></u></p><p><b>Dificultades para inicio temprano de lactancia materna</b></p><BR><BR>","0"
"","376.30000000074506","INFCONS_25","INFCONS","html-button-response","405","543912","0.0-360.0","<p><u><p><u>Riesgos para el <B>bebé</B></u></p><BR></u></p><p><b>Hospitalización en cuidados intensivos neonatales</b></p><BR><BR>","0"
"","352.80000000074506","INFCONS_24","INFCONS","html-button-response","406","544266","0.0-361.0","<p><u><p><u>Riesgos para el <B>bebé</B></u></p><BR></u></p><p><b>Lesión en el cerebro del bebe por falta de oxígeno</b></p><BR><BR>","0"
"","529.6999999992549","INFCONS_23","INFCONS","html-button-response","407","544798","0.0-362.0","<p><u><p><u>Riesgos para el <B>bebé</B></u></p><BR></u></p><p><b>Problemas respiratorios del recién nacido</b></p><BR><BR>","0"
"[{""page_index"":0,""viewing_time"":424}]","424","Instructions_06","INFCONS","instructions","408","545224","0.0-363.0","",""
"","362.9000000022352","INFCONS_29","INFCONS","html-button-response","409","545588","0.0-364.0","<p><u><p><u>Riesgos para la <B>madre</B></u></p><BR></u></p><p><b>Histerectomía (extracción del útero)</b></p><BR><BR>","0"
"","401.6000000014901","INFCONS_27","INFCONS","html-button-response","410","545992","0.0-365.0","<p><u><p><u>Riesgos para la <B>madre</B></u></p><BR></u></p><p><b>Complicaciones de la anestesia</b></p><BR><BR>","0"
"","433.8999999985099","INFCONS_31","INFCONS","html-button-response","411","546428","0.0-366.0","<p><u><p><u>Riesgos para la <B>madre</B></u></p><BR></u></p><p><b>Lesión de la vagina</b></p><BR><BR>","0"
"","523.8000000007451","INFCONS_28","INFCONS","html-button-response","412","546954","0.0-367.0","<p><u><p><u>Riesgos para la <B>madre</B></u></p><BR></u></p><p><b>Paro cardíaco</b></p><BR><BR>","0"
"","366.80000000074506","INFCONS_33","INFCONS","html-button-response","413","547322","0.0-368.0","<p><u><p><u>Riesgos para la <B>madre</B></u></p><BR></u></p><p><b>Depresión post parto</b></p><BR><BR>","0"
"","394.69999999925494","INFCONS_32","INFCONS","html-button-response","414","547718","0.0-369.0","<p><u><p><u>Riesgos para la <B>madre</B></u></p><BR></u></p><p><b>Hospitalización de la madre en cuidados intensivos</b></p><BR><BR>","0"
"","456.6000000014901","INFCONS_30","INFCONS","html-button-response","415","548178","0.0-370.0","<p><u><p><u>Riesgos para la <B>madre</B></u></p><BR></u></p><p><b>Infección de la herida</b></p><BR><BR>","0"
