"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","slider_start"
"[{""page_index"":0,""viewing_time"":529}]","530","Instructions_01","ITC","instructions","457","586534","0.0-412.0","","",""
"","694","ITC_01","ITC","survey-multi-choice-vertical","458","587231","0.0-413.0","{""Q0"":""1. ¿Qué opción preferirías?""}","{""Q0"":"" $3400000 este mes""}",""
"","1129","ITC_02","ITC","survey-multi-choice-vertical","459","588364","0.0-414.0","{""Q0"":""2. ¿Qué opción preferirías?""}","{""Q0"":"" $100000 ahora""}",""
"","723","ITC_03","ITC","survey-multi-choice-vertical","460","589094","0.0-415.0","{""Q0"":""3. ¿Qué opción preferirías?""}","{""Q0"":"" $100000 ahora""}",""
"","722","ITC_04","ITC","survey-multi-choice-vertical","461","589820","0.0-416.0","{""Q0"":""4. ¿Qué opción preferirías?""}","{""Q0"":"" $100000 en 10 años""}",""
"","919","ITC_05","ITC","survey-multi-choice-vertical","462","590743","0.0-417.0","{""Q0"":""5. ¿Qué opción preferirías?""}","{""Q0"":"" $1000000 en 10 años""}",""
"","661","ITC_06","ITC","survey-multi-choice-vertical","463","591407","0.0-418.0","{""Q0"":""6. ¿Qué opción preferirías?""}","{""Q0"":"" $20000 cada año durante 7 años""}",""
"","649","ITC_07","ITC","survey-multi-choice-vertical","464","592059","0.0-419.0","{""Q0"":""7. ¿Qué opción preferirías?""}","{""Q0"":"" $400000""}",""
"","656","ITC_08","ITC","survey-multi-choice-vertical","465","592717","0.0-420.0","{""Q0"":""8. ¿Qué opción preferirías?""}","{""Q0"":"" $100000 cada año durante 25 años""}",""
"","619","ITC_09","ITC","survey-multi-choice-vertical","466","593338","0.0-421.0","{""Q0"":""9. ¿Qué opción preferirías?""}","{""Q0"":"" Un masaje de 30 mins. en dos semanas""}",""
"","823","ITC_10","ITC","survey-multi-choice-vertical","467","594164","0.0-422.0","{""Q0"":""10. ¿Qué opción preferirías?""}","{""Q0"":"" Perder $2000000 el próximo año""}",""
"","646","ITC_11","ITC","survey-multi-choice-vertical","468","594813","0.0-423.0","{""Q0"":""11. ¿Qué opción preferirías?""}","{""Q0"":"" Sacarte un diente hoy""}",""
"","611","ITC_12","ITC","html-slider-response","469","595427","0.0-424.0","<div class='justified'>12. ¿Cuán impulsivo eres?</div></br>","-4","50"
"","689.6000000014901","ITC_13","ITC","html-slider-response","470","596121","0.0-425.0","<div class='justified'>13. ¿Cuánto tiempo tiendes a procastinar (perder el tiempo cuando tienes que hacer algo importante?</div></br>","-4","50"
"","508.5","ITC_14","ITC","html-slider-response","471","596631","0.0-426.0","<div class='justified'>14. ¿Cuánto piensas en tu futuro?</div></br>","-4","50"
"","806","ITC_15","ITC","survey-multi-choice-vertical","472","597441","0.0-427.0","{""Q0"":""15. Te has encontrado una billetera en cuyo interior hay una suma grande de dinero y la identificación del dueño. ¿Qué crees que harías?""}","{""Q0"":"" Devuelves la billetera sin dejar que el dueño sepa quien eres""}",""
"","1001","ITC_16","ITC","survey-multi-choice-vertical","473","598446","0.0-428.0","{""Q0"":""16. Un(a) niño(a) andando en triciclo pasa por tu casa aparentando estar perdido.  ¿Qué crees que harías?""}","{""Q0"":"" Ingnoras al niño(a) para evitar potenciales malos entendidos y problemas""}",""
"","757","ITC_17","ITC","survey-multi-choice-vertical","474","599207","0.0-429.0","{""Q0"":""17. ¿Qué sería más probable que hicieras un sábado por la tarde?""}","{""Q0"":"" Trabajar en un horario media jornada""}",""
"","1036","ITC_18","ITC","survey-multi-choice-vertical","475","600247","0.0-430.0","{""Q0"":""18. Un hombre que no habla español se te acerca en la calle apartentemente por necesita ayuda. ¿Qué crees que harías?""}","{""Q0"":"" Sigues caminando porque no quieres llegar tarde a tu destino""}",""
"","797","ITC_19","ITC","survey-multi-choice-vertical","476","601050","0.0-431.0","{""Q0"":""19. La noche anterior a un importante examen un compañero te muestra una copia robada de la prueba.  ¿Qué crees que harías?""}","{""Q0"":"" Dejas una nota anónima informando al profesor que el examen fue robado""}",""
"","1039","ITC_20","ITC","survey-multi-choice-vertical","477","602093","0.0-432.0","{""Q0"":""20. En una situación en la que podrías cooperar, pero preferirías no hacerlo:""}","{""Q0"":"" Evito situaciones donde podría ser requerida mi cooperación""}",""
"","795","ITC_21","ITC","survey-multi-choice-vertical","478","602892","0.0-433.0","{""Q0"":""21. Un amigo(a) te pide prestado(a) una prenda de ropa.  ¿Qué crees que harías?""}","{""Q0"":"" Se la prestas si sabes que realmente la necesita""}",""
"","1074","ITC_22","ITC","survey-multi-choice-vertical","479","603969","0.0-434.0","{""Q0"":""22. Un(a) compañero(a) de tu clase está teniendo un problema en su casa y en su rendimiento universitario . ¿Qué crees que harías?""}","{""Q0"":"" Ayudas a esta persona lo más que puedas""}",""
"","783","ITC_23","ITC","survey-multi-choice-vertical","480","604756","0.0-435.0","{""Q0"":""23. Estás en el segundo piso de un edificio y notas a un hombre con problemas de equililbrio y apartentando estar en problemas. ¿Qué crees que harías?""}","{""Q0"":"" Llamas a la policia temiendo algún posible peligro""}",""
"","940","ITC_24","ITC","survey-multi-choice-vertical","481","605699","0.0-436.0","{""Q0"":""24. Estando solo(a) en tu casa, escuchas afuera a una mujer pidiendo ayuda. ¿Qué crees que harías?""}","{""Q0"":"" Llamas a la policia y vas con ellos a ver que pasa""}",""
"","809","ITC_25","ITC","survey-multi-choice-vertical","482","606511","0.0-437.0","{""Q0"":""25. Yendo hacia la universidad ve a una persona de tu mismo sexo y similar edad con problemas en su auto. ¿Qué crees que harías?""}","{""Q0"":"" No ayudas porque piensas que puede ser peligroso""}",""
