"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","slider_start","response"
"[{""page_index"":0,""viewing_time"":276}]","276","Instructions","SBS","instructions","710","345448","0.0-672.0","","",""
"","438.4649999992689","SBS_01","SBS","html-slider-response","711","345889","0.0-673.0","<div class='justified'>1. Existe un Dios todopoderoso, omnisciente y amoroso.</div></br>","50","-4"
"","374.09000000113156","SBS_02","SBS","html-slider-response","712","346264","0.0-674.0","<div class='justified'>2. Existe un ser espiritual espiritual maligno, a quien podríamos llamar el Diablo.</div></br>","50","-4"
"","500.5799999999581","SBS_03","SBS","html-slider-response","713","346766","0.0-675.0","<div class='justified'>3. Existen buenos seres espirituales personales, a quienes podríamos llamar ángeles.</div></br>","50","-4"
"","381.02500000060536","SBS_04","SBS","html-slider-response","714","347148","0.0-676.0","<div class='justified'>4. Existen seres espirituales personales malvados, a quienes podríamos llamar demonios.</div></br>","50","-4"
"","366.9350000000559","SBS_05","SBS","html-slider-response","715","347517","0.0-677.0","<div class='justified'>5. Los seres humanos tienen almas inmateriales e inmortales.</div></br>","50","-4"
"","383.6199999987148","SBS_06","SBS","html-slider-response","716","347902","0.0-678.0","<div class='justified'>6. Hay un reino espiritual además del físico.</div></br>","50","-4"
"","375.94499999977415","SBS_07","SBS","html-slider-response","717","348279","0.0-679.0","<div class='justified'>7. Algunas personas irán al cielo cuando mueran.</div></br>","50","-4"
"","382.34499999997206","SBS_08","SBS","html-slider-response","718","348663","0.0-680.0","<div class='justified'>8. Algunas personas irán al infierno cuando mueran.</div></br>","50","-4"
"","385.1600000016624","SBS_09","SBS","html-slider-response","719","349050","0.0-681.0","<div class='justified'>9. Los milagros, eventos divinamente causados que no tienen una explicación natural, pueden suceder y lo hacen.</div></br>","50","-4"
"","386.21000000060303","SBS_10","SBS","html-slider-response","720","349438","0.0-682.0","<div class='justified'>10. Hay individuos que son mensajeros de Dios y / o pueden prever el futuro.</div></br>","50","-4"
