"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","button_pressed","condition_within","slider_start","response"
"[{""page_index"":0,""viewing_time"":244},{""page_index"":1,""viewing_time"":216}]","460","Instructions","HRPVBpost","instructions","244","109671","0.0-225.0","","","","",""
"[{""page_index"":0,""viewing_time"":216}]","216","Instructions_02","HRPVBpost","instructions","245","109888","0.0-226.0","","","","",""
"","211.79500000015832","HRPVBpost_05_00","HRPVBpost","html-button-response","246","110101","0.0-227.0-0.0","Complicaciones de la anestesia","0","Complicaciones de la anestesia","",""
"","382.0350000000908","HRPVBpost_05_01","HRPVBpost","html-slider-response","247","110484","0.0-227.0-1.0","cesarea","","Complicaciones de la anestesia; cesarea","50","53.3"
"","369.97999999995227","HRPVBpost_05_02","HRPVBpost","html-slider-response","248","110855","0.0-227.0-2.0","vaginal","","Complicaciones de la anestesia; vaginal","50","54.7"
"","210.50000000014552","HRPVBpost_09_00","HRPVBpost","html-button-response","249","111066","0.0-227.0-0.1","Lesión de la vagina","0","Lesión de la vagina","",""
"","340.46500000022934","HRPVBpost_09_02","HRPVBpost","html-slider-response","250","111408","0.0-227.0-1.1","vaginal","","Lesión de la vagina; vaginal","50","47.6"
"","361.6400000000722","HRPVBpost_09_01","HRPVBpost","html-slider-response","251","111771","0.0-227.0-2.1","cesarea","","Lesión de la vagina; cesarea","50","54.3"
"","227.00499999974272","HRPVBpost_06_00","HRPVBpost","html-button-response","252","111999","0.0-227.0-0.2","Paro cardíaco","0","Paro cardíaco","",""
"","358.4399999999732","HRPVBpost_06_02","HRPVBpost","html-slider-response","253","112358","0.0-227.0-1.2","vaginal","","Paro cardíaco; vaginal","50","51.5"
"","348.71999999997206","HRPVBpost_06_01","HRPVBpost","html-slider-response","254","112708","0.0-227.0-2.2","cesarea","","Paro cardíaco; cesarea","50","53.1"
"","212.07499999992433","HRPVBpost_07_00","HRPVBpost","html-button-response","255","112921","0.0-227.0-0.3","Histerectomía (extracción del útero)","0","Histerectomía (extracción del útero)","",""
"","344.81499999992957","HRPVBpost_07_02","HRPVBpost","html-slider-response","256","113267","0.0-227.0-1.3","vaginal","","Histerectomía (extracción del útero); vaginal","50","48.9"
"","347.814999999624","HRPVBpost_07_01","HRPVBpost","html-slider-response","257","113616","0.0-227.0-2.3","cesarea","","Histerectomía (extracción del útero); cesarea","50","50.2"
"","206.1050000002142","HRPVBpost_08_00","HRPVBpost","html-button-response","258","113823","0.0-227.0-0.4","Infección de la herida","0","Infección de la herida","",""
"","376.65500000002794","HRPVBpost_08_02","HRPVBpost","html-slider-response","259","114201","0.0-227.0-1.4","vaginal","","Infección de la herida; vaginal","50","47.4"
"","370.12499999992724","HRPVBpost_08_01","HRPVBpost","html-slider-response","260","114572","0.0-227.0-2.4","cesarea","","Infección de la herida; cesarea","50","54.7"
"","207.96500000005472","HRPVBpost_11_00","HRPVBpost","html-button-response","261","114781","0.0-227.0-0.5","Depresión post parto","0","Depresión post parto","",""
"","362.4450000002107","HRPVBpost_11_01","HRPVBpost","html-slider-response","262","115144","0.0-227.0-1.5","cesarea","","Depresión post parto; cesarea","50","50.3"
"","365.99000000023807","HRPVBpost_11_02","HRPVBpost","html-slider-response","263","115511","0.0-227.0-2.5","vaginal","","Depresión post parto; vaginal","50","46.2"
"","226.76000000002387","HRPVBpost_10_00","HRPVBpost","html-button-response","264","115739","0.0-227.0-0.6","Hospitalización de la madre en cuidados intensivos","0","Hospitalización de la madre en cuidados intensivos","",""
"","363.315000000046","HRPVBpost_10_02","HRPVBpost","html-slider-response","265","116103","0.0-227.0-1.6","vaginal","","Hospitalización de la madre en cuidados intensivos; vaginal","50","49.8"
"","363.0650000000023","HRPVBpost_10_01","HRPVBpost","html-slider-response","266","116467","0.0-227.0-2.6","cesarea","","Hospitalización de la madre en cuidados intensivos; cesarea","50","49"
"[{""page_index"":0,""viewing_time"":225}]","225","Instructions_01","HRPVBpost","instructions","267","116693","0.0-228.0","","","","",""
"","219.00000000004366","HRPVBpost_03_00","HRPVBpost","html-button-response","268","116914","0.0-229.0-0.0","Hospitalización en cuidados intensivos neonatales","0","Hospitalización en cuidados intensivos neonatales","",""
"","366.1150000002672","HRPVBpost_03_01","HRPVBpost","html-slider-response","269","117281","0.0-229.0-1.0","cesarea","","Hospitalización en cuidados intensivos neonatales; cesarea","50","50.1"
"","367.00500000006286","HRPVBpost_03_02","HRPVBpost","html-slider-response","270","117649","0.0-229.0-2.0","vaginal","","Hospitalización en cuidados intensivos neonatales; vaginal","50","45.1"
"","205.66499999994994","HRPVBpost_02_00","HRPVBpost","html-button-response","271","117855","0.0-229.0-0.1","Lesión en el cerebro del bebe por falta de oxígeno","0","Lesión en el cerebro del bebe por falta de oxígeno","",""
"","357.60499999969034","HRPVBpost_02_01","HRPVBpost","html-slider-response","272","118214","0.0-229.0-1.1","cesarea","","Lesión en el cerebro del bebe por falta de oxígeno; cesarea","50","50"
"","363.60999999988417","HRPVBpost_02_02","HRPVBpost","html-slider-response","273","118579","0.0-229.0-2.1","vaginal","","Lesión en el cerebro del bebe por falta de oxígeno; vaginal","50","52.9"
"","212.81999999974505","HRPVBpost_04_00","HRPVBpost","html-button-response","274","118793","0.0-229.0-0.2","Dificultades para inicio temprano de lactancia materna","0","Dificultades para inicio temprano de lactancia materna","",""
"","355.91499999964435","HRPVBpost_04_01","HRPVBpost","html-slider-response","275","119149","0.0-229.0-1.2","cesarea","","Dificultades para inicio temprano de lactancia materna; cesarea","50","47.1"
"","345.6949999999779","HRPVBpost_04_02","HRPVBpost","html-slider-response","276","119496","0.0-229.0-2.2","vaginal","","Dificultades para inicio temprano de lactancia materna; vaginal","50","49.6"
