"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","slider_start"
"[{""page_index"":0,""viewing_time"":237}]","237","Instructions","ITC","instructions","374","162612","0.0-325.0","","",""
"","503","ITC_01","ITC","survey-multi-choice-vertical","375","163119","0.0-326.0","{""Q0"":""1. ¿Qué opción preferirías?""}","{""Q0"":"" $3800000 el próximo mes""}",""
"","426","ITC_02","ITC","survey-multi-choice-vertical","376","163547","0.0-327.0","{""Q0"":""2. ¿Qué opción preferirías?""}","{""Q0"":"" $100000 ahora""}",""
"","398","ITC_03","ITC","survey-multi-choice-vertical","377","163947","0.0-328.0","{""Q0"":""3. ¿Qué opción preferirías?""}","{""Q0"":"" $100000 ahora""}",""
"","403","ITC_04","ITC","survey-multi-choice-vertical","378","164351","0.0-329.0","{""Q0"":""4. ¿Qué opción preferirías?""}","{""Q0"":"" $100000 en 10 años""}",""
"","403","ITC_05","ITC","survey-multi-choice-vertical","379","164757","0.0-330.0","{""Q0"":""5. ¿Qué opción preferirías?""}","{""Q0"":"" $1000000 en 10 años""}",""
"","406","ITC_06","ITC","survey-multi-choice-vertical","380","165164","0.0-331.0","{""Q0"":""6. ¿Qué opción preferirías?""}","{""Q0"":"" $20000 cada año durante 7 años""}",""
"","402","ITC_07","ITC","survey-multi-choice-vertical","381","165569","0.0-332.0","{""Q0"":""7. ¿Qué opción preferirías?""}","{""Q0"":"" $100000 cada año durante 10 años""}",""
"","404","ITC_08","ITC","survey-multi-choice-vertical","382","165976","0.0-333.0","{""Q0"":""8. ¿Qué opción preferirías?""}","{""Q0"":"" $100000 cada año durante 25 años""}",""
"","416","ITC_09","ITC","survey-multi-choice-vertical","383","166393","0.0-334.0","{""Q0"":""9. ¿Qué opción preferirías?""}","{""Q0"":"" Un masaje de 30 mins. en dos semanas""}",""
"","412","ITC_10","ITC","survey-multi-choice-vertical","384","166807","0.0-335.0","{""Q0"":""10. ¿Qué opción preferirías?""}","{""Q0"":"" Perder $2000000 el próximo año""}",""
