"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","slider_start"
"[{""page_index"":0,""viewing_time"":238}]","238","Instructions","ITC","instructions","374","158873","0.0-325.0","","",""
"","513","ITC_01","ITC","survey-multi-choice-vertical","375","159389","0.0-326.0","{""Q0"":""1. ¿Qué opción preferirías?""}","{""Q0"":"" $3800000 el próximo mes""}",""
"","479","ITC_02","ITC","survey-multi-choice-vertical","376","159871","0.0-327.0","{""Q0"":""2. ¿Qué opción preferirías?""}","{""Q0"":"" $100000 ahora""}",""
"","438","ITC_03","ITC","survey-multi-choice-vertical","377","160311","0.0-328.0","{""Q0"":""3. ¿Qué opción preferirías?""}","{""Q0"":"" $1100000 en 10 años""}",""
"","410","ITC_04","ITC","survey-multi-choice-vertical","378","160723","0.0-329.0","{""Q0"":""4. ¿Qué opción preferirías?""}","{""Q0"":"" $9000 ahora""}",""
"","413","ITC_05","ITC","survey-multi-choice-vertical","379","161140","0.0-330.0","{""Q0"":""5. ¿Qué opción preferirías?""}","{""Q0"":"" $40000 inmediatamente""}",""
"","407","ITC_06","ITC","survey-multi-choice-vertical","380","161549","0.0-331.0","{""Q0"":""6. ¿Qué opción preferirías?""}","{""Q0"":"" $100000 ahora""}",""
"","454","ITC_07","ITC","survey-multi-choice-vertical","381","162005","0.0-332.0","{""Q0"":""7. ¿Qué opción preferirías?""}","{""Q0"":"" $400000""}",""
"","441","ITC_08","ITC","survey-multi-choice-vertical","382","162449","0.0-333.0","{""Q0"":""8. ¿Qué opción preferirías?""}","{""Q0"":"" $100000 cada año durante 25 años""}",""
"","431","ITC_09","ITC","survey-multi-choice-vertical","383","162883","0.0-334.0","{""Q0"":""9. ¿Qué opción preferirías?""}","{""Q0"":"" Un masaje de 45 mins. en algunos meses""}",""
"","425","ITC_10","ITC","survey-multi-choice-vertical","384","163309","0.0-335.0","{""Q0"":""10. ¿Qué opción preferirías?""}","{""Q0"":"" Perder $1000000 este año""}",""
"","414","ITC_11","ITC","survey-multi-choice-vertical","385","163726","0.0-336.0","{""Q0"":""11. ¿Qué opción preferirías?""}","{""Q0"":"" Sacarte un diente hoy""}",""
"","371.79999999990105","ITC_12","ITC","html-slider-response","386","164100","0.0-337.0","<div class='justified'>12. ¿Cuán impulsivo eres?</div></br>","-4","50"
"","384.3750000000873","ITC_13","ITC","html-slider-response","387","164485","0.0-338.0","<div class='justified'>13. ¿Cuánto tiempo tiendes a procastinar (perder el tiempo cuando tienes que hacer algo importante?</div></br>","-4","50"
"","361.4900000002235","ITC_14","ITC","html-slider-response","388","164848","0.0-339.0","<div class='justified'>14. ¿Cuánto piensas en tu futuro?</div></br>","-4","50"
"","547","ITC_15","ITC","survey-multi-choice-vertical","389","165399","0.0-340.0","{""Q0"":""15. Te has encontrado una billetera en cuyo interior hay una suma grande de dinero y la identificación del dueño. ¿Qué crees que harías?""}","{""Q0"":"" Mantienes la billetera y el dinero""}",""
"","522","ITC_16","ITC","survey-multi-choice-vertical","390","165924","0.0-341.0","{""Q0"":""16. Un(a) niño(a) andando en triciclo pasa por tu casa aparentando estar perdido.  ¿Qué crees que harías?""}","{""Q0"":"" Llevas al niño(a) a tu casa y llamas a la policía""}",""
"","513","ITC_17","ITC","survey-multi-choice-vertical","391","166442","0.0-342.0","{""Q0"":""17. ¿Qué sería más probable que hicieras un sábado por la tarde?""}","{""Q0"":"" Ayudar a un amigo a limpiar su sótano""}",""
