"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response"
"[{""page_index"":0,""viewing_time"":257}]","257","Instructions","SCSORF","instructions","722","349697","0.0-685.0","",""
"","590","SCSORF_01","SCSORF","survey-multi-choice-vertical","723","350291","0.0-686.0","{""Q0"":""1. Mi fe religiosa es extremadamente importante para mí.""}","{""Q0"":"" Fuertemente de acuerdo""}"
"","536","SCSORF_02","SCSORF","survey-multi-choice-vertical","724","350832","0.0-687.0","{""Q0"":""2. Rezo a diario.""}","{""Q0"":"" Fuertemente en desacuerdo""}"
"","538","SCSORF_03","SCSORF","survey-multi-choice-vertical","725","351374","0.0-688.0","{""Q0"":""3. Considero mi fe una fuente de inspiración""}","{""Q0"":"" Fuertemente de acuerdo""}"
"","557","SCSORF_04","SCSORF","survey-multi-choice-vertical","726","351935","0.0-689.0","{""Q0"":""4. Considero que mi fe le otorga significado y propósito a mi vida.""}","{""Q0"":"" De acuerdo""}"
"","545","SCSORF_05","SCSORF","survey-multi-choice-vertical","727","352484","0.0-690.0","{""Q0"":""5. Me considero activo/a en mi fe o iglesia.""}","{""Q0"":"" Fuertemente en desacuerdo""}"
"","549","SCSORF_06","SCSORF","survey-multi-choice-vertical","728","353037","0.0-691.0","{""Q0"":""6. Mi fe es una parte importante de quien soy como persona.""}","{""Q0"":"" Fuertemente de acuerdo""}"
"","558","SCSORF_07","SCSORF","survey-multi-choice-vertical","729","353600","0.0-692.0","{""Q0"":""7. Mi relación con Dios es extremadamente importante para mí.""}","{""Q0"":"" De acuerdo""}"
"","549","SCSORF_08","SCSORF","survey-multi-choice-vertical","730","354154","0.0-693.0","{""Q0"":""8. Disfruto estando alrededor de otras personas que comparten mi fe.""}","{""Q0"":"" De acuerdo""}"
"","559","SCSORF_09","SCSORF","survey-multi-choice-vertical","731","354716","0.0-694.0","{""Q0"":""9. Veo mi fe como una fuente de comodidad.""}","{""Q0"":"" En desacuerdo""}"
"","572","SCSORF_10","SCSORF","survey-multi-choice-vertical","732","355292","0.0-695.0","{""Q0"":""10. Mi fe impacta muchas de mis decisiones.""}","{""Q0"":"" Fuertemente en desacuerdo""}"
